Español,Palabra,ID Audio,Inicio (sg),Fin (sg),Lengua,Transcriptorx,Herramienta,Tanda,Repositorio,Código,Cita Audio,Cita Bibliográfica,Consultante,Original_audiopath,Recorte_path
yica, ɬk͡lasaʔ,2011_07_08_ER_AG_125,,,nivacle,AG,Word,2023-08,DILA inv,Gu2011,Gutiérrez_2011,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166459",Elizabeth Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2011/ER8Julio2011/2011_07_08_ER_AG_125.wav,../pict-glotales/assets/audio/20110708ER125_yica.wav
iguana,aɬu,2010_08_16_SR_AG_057,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166492",Sara Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_07_02/2010_07_02_SR_AG_057.wav,../pict-glotales/assets/audio/20100816SR057_iguana.wav
langosta,fanxa fanxas fanxak,2012_03_13_FR_AG_140,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,Gutiérrez_2012,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166478",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2012/FR13marzo2012/20120313_FR_AG_140.wav,../pict-glotales/assets/audio/20120313FR140_langosta.wav
mi sobrino,jifak͡lʔa afak͡lʔa ɬfak͡lʔa kasfak͡lʔa,2012_03_08_FR_AG_070,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,Gutiérrez_2012,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166494",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2012/FR13marzo2012/20120313_FR_AG_070.wav,../pict-glotales/assets/audio/20120308FR070_mi_sobrino.wav
mi sobrina,jifakt͡ʃḛ,2012_03_08_FR_AG_069,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,Gutiérrez_2012,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166495",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2012/FR13marzo2012/20120313_FR_AG_069.wav,../pict-glotales/assets/audio/20120308FR069_mi_sobrina.wav
mi panza,jikaʔwot,2017_04_04_FR_AG_156,,,nivacle,AG,Word,2023-08,DILA inv,Gu2017,Gutiérrez_2017,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166456",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2017/20170404FR/20170404FR_AG_156.wav,../pict-glotales/assets/audio/20170404FR156_mi_panza.wav
mi oreja,jikfeʔ,2010_07_04_FR_AG_044,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166455",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_21FR/2010_08_21_FR_AG_044.wav,../pict-glotales/assets/audio/20100704FR044_mi_oreja.wav
mi mano,jipɑkɑt kaspɑkɑ̰t na watpɑkɑ̰t,2019_07_20_FR_AG_056,,,nivacle,AG,Word,2023-08,DILA inv,Gu2019,Gutiérrez_2019,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166452",Félix Ramírez,,../pict-glotales/assets/audio/20190720FR056_mi_mano.wav
vos,ɬatqaβʦak͡lajeʃ na neqxjɑk,2011_07_12_FR_AG_065,,,nivacle,AG,Word,2023-08,DILA inv,Gu2011,Gutiérrez_2011,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166472",Félix Ramírez,,../pict-glotales/assets/audio/20110712FR065_vos.wav
ustedes,ɬatqaβʦak͡lajeɬ ɬatqaβʦak͡lajʃeɬ,2011_07_12_FR_AG_071,,,nivacle,AG,Word,2023-08,DILA inv,Gu2011,Gutiérrez_2011,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166475",Félix Ramírez,,../pict-glotales/assets/audio/20110712FR071_ustedes.wav
