Español,Palabra,ID Audio,Inicio (sg),Fin (sg),Lengua,Transcriptorx,Herramienta,Tanda,Repositorio,Código,Cita Audio,Cita Bibliográfica,Consultante,Original_audiopath,Recorte_path
mi hija,ɬk͡loʔop ɬa ʔose,2010_08_14_CS_AG_037,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166445",Celestina Sacarías,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_14Cel/2010_08_14_CS_AG_037.wav,../pict-glotales/assets/audio/20100814CS037_tengo_a_mi_hija_en_el_regazo.wav
mi hija,,2012_03_16_TS_AG_186,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,Gutiérrez_2012,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166445",Teresita Sánchez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2012/20120316/TS16marzo2012/20120316_TS_AG_186.wav,../pict-glotales/assets/audio/20120316TS186_mi_hija_es_buena.wav
mi hija,tʼaʦanʧe jaʦanʧej    jaʦanaʧ jaʦanxaj,2012_03_16_FR_AG_045,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,Gutiérrez_2012,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166445",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2012/FR13marzo2012/20120313_FR_AG_045.wav,../pict-glotales/assets/audio/20120316FR045_hijastra__mi_hijasta.wav
mi hija,xuwɑ kapitxa ɬajɑse,2012_05_03_GR_AG_107,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,Gutiérrez_2012,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166445",Graciano Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2012/GR04mayo2012/20120504_GR_AG_107.wav,../pict-glotales/assets/audio/20120503GR107_deseo_que_mi_hija_sea_grande.wav
mi hija,jaʦanaʧ jaʦanʧe jaʦanxes/as jaʦanʧej,2012_04_14_FR_AG_013,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,Gutiérrez_2012,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166445",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2012/FR13marzo2012/20120313_FR_AG_013.wav,../pict-glotales/assets/audio/20120414FR013_mi_hijastro_hijastra.wav
mi hija,k͡lop k͡lop na jɑ̰s ɬa jɑse k͡lim k͡lop k͡lop ɬa jɑse,2019_07_23_TeS_AG_025,,,nivacle,AG,Word,2023-08,DILA inv,Gu2019,Gutiérrez_2019,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166445",Teo Servín,,../pict-glotales/assets/audio/20190723TeS025_blanco_mi_hijo_es_blanca_mi_hija_es_blanca_es_blanca_mi_hija.wav
rata,ʃek͡lox,2010_08_24_FR_AG_020,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166446",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_21FR/2010_08_21_FR_AG_020.wav,"../pict-glotales/assets/audio/20100824FR020_una_planta_chiquitita_medicinal_amarilla,_se_usa_para_tratar_hongos.wav"
rata,xa niβak͡le tanqɑmk͡lɑj,2012_03_19_FR_AG_184,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,Gutiérrez_2012,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166446",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2012/FR19marzo2012/20120319_FR_AG_184.wav,../pict-glotales/assets/audio/20120319FR184_el_nivacle_le_tratan_mal.wav
rata,ʦiqɑmk͡lɑki,2012_03_19_FR_AG_185,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,Gutiérrez_2012,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166446",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2012/FR19marzo2012/20120319_FR_AG_185.wav,../pict-glotales/assets/audio/20120319FR185_a_mi_me_tratan_mal.wav
rata,amʔɑ ɑmʔatax ampa,2017_04_08_TS_AG_005,,,nivacle,AG,Word,2023-08,DILA inv,Gu2017,Gutiérrez_2017,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166446",Teresita Sánchez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2017/20170407TS/20170407_TS_AG_005.wav,../pict-glotales/assets/audio/20170408TS005_ratón_rata_nada.wav
rata,ɑmpa ɑmpa ka na̰ʔan ɑmʔɑ ɬa ɑmʔɑ ux ti kʼuʦxanxa kʼuʦxaʔ,2019_07_23_TeS_AG_043,,,nivacle,AG,Word,2023-08,DILA inv,Gu2019,Gutiérrez_2019,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166446",Teo Servín,,../pict-glotales/assets/audio/20190723TeS043_nada_no_hay_nada/no_pasa_nada_la_rata_es_robadora.wav
mi diente,xanɑmatʼe anɑmatʼe ɬka jiʦewte xanɑmateʃwatxṵɬ,2017_07_09_TS_AG_055,,,nivacle,AG,Word,2023-08,DILA inv,Gu2017,Gutiérrez_2017,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166450",Teresita Sánchez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2017/20170709TS/20170709_TS_AG_055.wav,../pict-glotales/assets/audio/20170709TS055_yo_arranco_arranqué_mi_diente_desprendo_de_una_unión.wav
mi diente,xanɑmatʼe ɬka jiʦewte nɑmatʼe,2017_07_10_FR_AG_032,,,nivacle,AG,Word,2023-08,DILA inv,Gu2017,Gutiérrez_2017,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166450",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2017/20170404FR/20170404FR_AG_032.wav,../pict-glotales/assets/audio/20170710FR032_arranco_mi_diente.wav
hombre,,2010_08_14_CS_AG_031,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Celestina Sacarías,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_14Cel/2010_08_14_CS_AG_031.wav,../pict-glotales/assets/audio/20100814CS031_el_hombre_tiene_sus_hijos.wav
hombre,noke niwak͡le,2010_08_14_SR_AG_065,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Sara Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_07_02/2010_07_02_SR_AG_065.wav,../pict-glotales/assets/audio/20100814SR065_este_hombre.wav
hombre,xoke niwak͡le is ʃane,2010_08_14_SR_AG_067,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Sara Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_07_02/2010_07_02_SR_AG_067.wav,../pict-glotales/assets/audio/20100814SR067_ese_hombre_es_muy_bueno.wav
hombre,kok͡le niwak͡le is ʃane,2010_08_14_SR_AG_068,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Sara Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_07_02/2010_07_02_SR_AG_068.wav,../pict-glotales/assets/audio/20100814SR068_ese_hombre_es_muy_bueno.wav
hombre,nɑʔɑ niwak͡le,2010_08_14_SR_AG_070,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Sara Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_07_02/2010_07_02_SR_AG_070.wav,../pict-glotales/assets/audio/20100814SR070_quien_sera_este_hombre.wav
hombre,nɑʔɑ niwak͡le pajisnateʃ koke /tijisnateʃ koʔke,2010_08_14_SR_AG_071,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Sara Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_07_02/2010_07_02_SR_AG_071.wav,../pict-glotales/assets/audio/20100814SR071_quien_sera_el_hombre_que_hizo_esto….wav
hombre,nuʔumxuɬ niwak͡le is ʃane,2010_08_14_SR_AG_073,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Sara Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_13SR/2010_08_13_SR_AG_073.wav,../pict-glotales/assets/audio/20100814SR073_ahi_viene_el_hombre_bueno.wav
hombre,peʔem xuɬ niwak͡le is ʃane,2010_08_14_SR_AG_074,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Sara Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_13SR/2010_08_13_SR_AG_074.wav,../pict-glotales/assets/audio/20100814SR074_estoy_escuchando_que_viene_el_hombre_bueno.wav
hombre,panʔe niwak͡le is ʃane,2010_08_14_SR_AG_075,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Sara Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_13SR/2010_08_13_SR_AG_075.wav,"../pict-glotales/assets/audio/20100814SR075_que_ya_fue,_pero_ese_hombre_era_muy_bueno.wav"
hombre,kaʔum niwak͡le is ʃane,2010_08_14_SR_AG_077,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Sara Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_13SR/txtgrides2010_08_13_SR/2010_08_13_SR_AG_077.wav,../pict-glotales/assets/audio/20100814SR077_ahi_se_va_el_hombre_bueno.wav
hombre,,2010_08_16_SR_AG_062,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Sara Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_07_02/2010_07_02_SR_AG_062.wav,../pict-glotales/assets/audio/20100816SR062_aquel_hombre_es_muy_alto.wav
hombre,na niwak͡le qɑ̰ʦxenax,2010_08_17_FR_AG_019,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_21FR/2010_08_21_FR_AG_019.wav,../pict-glotales/assets/audio/20100817FR019_el_hombre_que_tiene_diarrea.wav
hombre,na niwak͡le k͡liʃamat,2010_08_17_FR_AG_133,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_17FRphonology/2010_08_17_FR_AG_133.wav,../pict-glotales/assets/audio/20100817FR133_el_hombre_que_habla_malas_palabras.wav
hombre,pḛm ana tiʃxanʔin,2010_07_20_SR_AG_029,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Sara Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_07_05SR/2010_07_05_SR_AG_029.wav,../pict-glotales/assets/audio/20100720SR029_esty_escuchando_que_esta_cantando_(_un_hombre).wav
hombre,xawanʧe ka niwak͡le,2010_07_20_SR_AG_036,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Sara Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_07_05SR/2010_07_05_SR_AG_036.wav,../pict-glotales/assets/audio/20100720SR036_you_vi_un_hombre.wav
hombre,xawanʧe ka niwak͡le tijiʧakfi kaxpojiʧ,2010_07_20_SR_AG_037,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Sara Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_07_05SR/2010_07_05_SR_AG_037.wav,../pict-glotales/assets/audio/20100720SR037_yo_he_visto_un_hombre_entrar_por_la_casa.wav
hombre,pa xawanʃita ka niwak͡le niʧijiʧ,2010_08_21_FR_AG_065,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_21FR/2010_08_21_FR_AG_065.wav,../pict-glotales/assets/audio/20100821FR065_veo_el_hombre_joven.wav
hombre,ka niwak͡le tak͡lṵk tʼexum,2010_08_21_FR_AG_089,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_21FR/2010_08_21_FR_AG_089.wav,../pict-glotales/assets/audio/20100821FR089_sera_que_el_hombre_es_ciego.wav
hombre,,2010_08_24_FR_AG_089,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_21FR/2010_08_21_FR_AG_089.wav,"../pict-glotales/assets/audio/20100824FR089_los_hombres_muy_borrachos,_persona_que_toma_y_busca_problema.wav"
hombre,xawan xa (weʔɬa) niwak͡le pitex,2010_08_28_FR_AG_043,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_21FR/2010_08_21_FR_AG_043.wav,../pict-glotales/assets/audio/20100828FR043_he_visto_un_hombre_que_es_alto.wav
hombre,(xawan xa niwak͡le) pitesʧe xawa ɬajḛs,2010_08_28_FR_AG_048,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_21FR/2010_08_21_FR_AG_048.wav,../pict-glotales/assets/audio/20100828FR048_pelo._vi_un_hombre_que_tiene_su_pelo_largo.wav
